period,region,sales_krw_bn,yoy_growth,source_note
2026Q1,United States,185.3,0.37,Reported company-region figure via contemporaneous press coverage
2026Q1,China,171.3,0.36,Reported company-region figure via contemporaneous press coverage
2026Q1,Europe,77.3,2.15,Reported company-region figure via contemporaneous press coverage
2026Q2,United States,,0.543,Q2 regional YoY growth from Hanwha Investment & Securities post-results analysis
2026Q2,China,,0.441,Q2 regional YoY growth from Hanwha Investment & Securities post-results analysis
2026Q2,Europe,,0.610,Q2 regional YoY growth from Hanwha Investment & Securities post-results analysis
