event_date,facility,status,annual_capacity_units,investment_krw_bn,strategic_role,source_note
2025-06-11,Miryang Plant 2,operating,830000000,183.0,Export production for US and Europe,Public completion reporting
2025-06-11,Miryang Plants 1+2,operating,1580000000,,Combined export production capacity,Public completion reporting
2025-07-03,Jiaxing China Plant,under_construction,840000000,201.4,China domestic production; planned completion Jan 2027,Samyang Foods official press release
2026-03-26,Company value-up capacity target,target,,,Production volume +40.2% vs existing base,KRX value-up disclosure
