period,revenue_krw_bn,operating_profit_krw_bn,overseas_sales_krw_bn,domestic_sales_krw_bn,overseas_share,operating_margin,overseas_yoy,notes
2025A,2351.785,524.188,1883.800,467.985,0.8010,0.2229,,2025 overseas sales compiled from DART-based reporting
2026Q1,714.406,177.133,585.000,129.406,0.8189,0.2479,0.3800,Record quarterly revenue and operating profit; Milyang 2 utilization ramp supported supply
2026Q2,770.309,176.181,645.800,124.509,0.8384,0.2287,0.4670,Overseas sales exceeded KRW 600bn for the first time
2026H1,1484.715,353.314,1230.800,253.915,0.8290,0.2380,,Calculated as Q1+Q2
