company,role,pe_2026,pe_2027,eps_growth_2026,ebit_margin_2026,roe_2026,notes,source
Samyang Foods,subject,16.9,13.8,42.76%,23.47%,37.19%,Global spicy-noodle brand; high overseas exposure,MarketScreener 2026-09-18
Orion,primary peer,9.3,8.33,23.82%,16.85%,11.87%,Global branded packaged food; overseas production footprint,MarketScreener 2026-09-18
Nongshim,primary peer,11.9,11.3,17.94%,6.29%,6.76%,Closest listed ramen peer; US and Europe expansion,MarketScreener 2026-09-18
CJ CheilJedang,secondary peer,9.72,6.38,n.m.,4.07%,3.85%,Broad food/BIO/logistics mix; 2025 loss distorts growth,MarketScreener 2026-09-18
Pulmuone,secondary peer,7.66,6.07,235.95%,3.35%,13.10%,Turnaround base effect makes EPS growth non-comparable,MarketScreener 2026-09
